libcell, Min_delay,Average_delay,Max_delay
BUFH_X3N_A9PP84TL_C14,0.010,0.01,0.010
OR2_X2N_A9PP84TR_C16,0.020,0.0322,0.042
BUF_X4N_A9PP84TR_C14,0.015,0.0238,0.037
SDFFRPQ_X1N_A9PP84TL_C14,0.037,0.0373,0.038
NOR2_X4F_A9PP84TSL_C14,0.008,0.009,0.012
BUF_X4N_A9PP84TR_C16,0.014,0.0272,0.029
BUFH_X1N_A9PP84TSL_C14,0.023,0.0253,0.027
INV_X3F_A9PP84TSL_C14,0.007,0.0101,0.015
NAND2_X1TN_A9PP84TSL_C14,0.015,0.015,0.015
INV_X3F_A9PP84TSL_C16,0.015,0.015,0.015
AOI21_X3N_A9PP84TR_C14,0.012,0.0247,0.064
NAND3_X2R_A9PP84TSL_C14,0.009,0.009,0.009
AOI22_X2N_A9PP84TSL_C14,0.011,0.0148,0.027
PREICG_X7R_A9PP84TL_C14,0.020,0.0323,0.038
PREICG_X7R_A9PP84TL_C16,0.020,0.02,0.020
NOR2_X4R_A9PP84TR_C14,0.013,0.013,0.013
AO21B_X1N_A9PP84TSL_C14,0.009,0.015,0.020
AO21B_X1N_A9PP84TSL_C16,0.022,0.024,0.029
AOI22_X1R_A9PP84TSL_C14,0.010,0.0153,0.024
OAI21_X1N_A9PP84TR_C16,0.025,0.0283,0.033
AOI22_X2F_A9PP84TR_C14,0.016,0.0184,0.022
INV_X16R_A9PP84TR_C14,0.005,0.00533,0.006
NOR2_X2N_A9PP84TSL_C14,0.006,0.00875,0.014
PREICG_X2R_A9PP84TL_C14,0.024,0.0426,0.056
NAND2_X6R_A9PP84TSL_C14,0.006,0.012,0.020
NAND2_X4R_A9PP84TR_C14,0.009,0.0094,0.010
PREICG_X2R_A9PP84TL_C16,0.028,0.0462,0.058
AOI21_X6N_A9PP84TSL_C14,0.009,0.018,0.029
AOI21_X6N_A9PP84TSL_C16,0.030,0.03,0.030
BUFH_X5N_A9PP84TR_C14,0.014,0.014,0.014
AOI22_X6N_A9PP84TR_C14,0.014,0.014,0.014
NOR2_X1R_A9PP84TSL_C14,0.007,0.0096,0.015
BUFH_X5N_A9PP84TR_C16,0.026,0.026,0.026
NOR2_X1R_A9PP84TSL_C16,0.008,0.008,0.008
XOR2_X1N_A9PP84TR_C16,0.006,0.00938,0.015
NAND2_X1P5R_A9PP84TL_C14,0.004,0.0033,0.025
INV_X4R_A9PP84TL_C14,0.008,0.008,0.008
SDFFXRPQ_X2N_A9PP84TR_C14,0.036,0.036,0.036
NAND2_X1P5R_A9PP84TL_C16,0.015,0.015,0.015
PREICG_X10R_A9PP84TL_C14,0.014,0.0161,0.037
INV_X4R_A9PP84TL_C16,0.006,0.006,0.006
NOR2XB_X1N_A9PP84TSL_C14,0.009,0.0134,0.017
SDFFXRPQ_X2N_A9PP84TR_C16,0.033,0.0376,0.048
PREICG_X10R_A9PP84TL_C16,0.045,0.045,0.045
NOR2XB_X1N_A9PP84TSL_C16,0.031,0.0367,0.045
SDFFRPQ_X3N_A9PP84TR_C16,0.046,0.0558,0.085
INVP_X1N_A9PP84TR_C14,0.014,0.0241,0.064
AOI22_X1N_A9PP84TR_C14,0.026,0.026,0.026
AOI22_X1N_A9PP84TR_C16,0.026,0.026,0.026
INVP_X1N_A9PP84TR_C16,0.014,0.0337,0.075
AO211_X1N_A9PP84TSL_C14,0.020,0.0227,0.027
BUFH_X14N_A9PP84TL_C14,0.011,0.011,0.011
AOI211_X1N_A9PP84TL_C14,0.027,0.027,0.027
MXT2_X4N_A9PP84TSL_C14,0.015,0.0155,0.017
AOI21B_X2N_A9PP84TSL_C14,0.013,0.0206,0.026
MXT2_X4N_A9PP84TSL_C16,0.018,0.018,0.018
INV_X10F_A9PP84TL_C14,0.004,0.004,0.004
INV_X16F_A9PP84TSL_C14,0.006,0.00993,0.012
INV_X10F_A9PP84TL_C16,0.006,0.006,0.006
AOI31_X4N_A9PP84TL_C14,0.010,0.01,0.010
NOR2_X1P5F_A9PP84TSL_C14,0.007,0.009,0.012
MXT2_X4N_A9PP84TL_C14,0.014,0.00087,0.036
NOR3_X6F_A9PP84TL_C14,0.015,0.0165,0.018
NAND4_X4R_A9PP84TSL_C14,0.009,0.0165,0.029
MXT2_X4N_A9PP84TL_C16,0.019,0.0192,0.020
BUF_X2N_A9PP84TSL_C14,0.015,0.0158,0.018
INV_X14N_A9PP84TL_C14,0.011,0.011,0.011
INV_X6R_A9PP84TR_C14,0.017,0.017,0.017
NAND2_X2N_A9PP84TL_C14,0.020,0.02,0.020
NAND2_X2N_A9PP84TL_C16,0.020,0.0205,0.021
INV_X6R_A9PP84TR_C16,0.005,0.008,0.011
OA22_X2N_A9PP84TSL_C14,0.023,0.0237,0.024
INV_X14N_A9PP84TSL_C14,0.005,0.00547,0.014
AO21B_X2N_A9PP84TL_C14,0.015,0.021,0.023
BUFH_X7N_A9PP84TSL_C14,0.010,0.00151,0.025
NOR3_X4N_A9PP84TSL_C14,0.011,0.011,0.011
AO21B_X2N_A9PP84TL_C16,0.015,0.0165,0.018
BUFH_X16N_A9PP84TR_C14,0.010,0.0111,0.014
AOI211_X2N_A9PP84TSL_C14,0.010,0.0142,0.019
AO21A1AI2_X2N_A9PP84TR_C16,0.023,0.023,0.023
NOR2_X4TN_A9PP84TSL_C14,0.010,0.01,0.010
NOR3_X1P5F_A9PP84TSL_C14,0.006,0.0107,0.025
AND2_X1N_A9PP84TR_C14,0.027,0.027,0.027
AND2_X1N_A9PP84TR_C16,0.015,0.0229,0.043
INV_X12F_A9PP84TR_C14,0.006,0.00689,0.010
INV_X12F_A9PP84TR_C16,0.005,0.00567,0.007
PREICG_X7N_A9PP84TL_C14,0.017,0.0387,0.053
OR3_X2N_A9PP84TSL_C14,0.028,0.028,0.028
INV_X5F_A9PP84TL_C14,0.013,0.013,0.013
PREICG_X7N_A9PP84TL_C16,0.022,0.0404,0.042
